example_id                                                            | status  | run_time        |
./spec/controllers/parental_consents_controller_spec.rb[1:4:2:1]      | failed  | 0.00988 seconds |
./spec/controllers/parental_consents_controller_spec.rb[1:4:2:2]      | failed  | 0.01424 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:1:1:1]   | failed  | 0.0255 seconds  |
./spec/controllers/participation_spaces_controller_spec.rb[1:1:1:2]   | failed  | 0.02857 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:1:2:1]   | failed  | 0.00553 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:1:2:2]   | failed  | 0.00593 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:2:1:1]   | failed  | 0.02603 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:2:1:2]   | failed  | 0.02999 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:2:1:3]   | failed  | 0.0258 seconds  |
./spec/controllers/participation_spaces_controller_spec.rb[1:2:1:4]   | failed  | 0.02891 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:2:1:5]   | failed  | 0.02532 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:2:1:6]   | failed  | 0.02994 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:2:2:1]   | passed  | 0.03177 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:2:2:2]   | passed  | 0.03158 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:2:3:1]   | passed  | 0.02772 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:3:1:1]   | failed  | 0.03205 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:3:1:2]   | failed  | 0.02932 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:3:1:3]   | failed  | 0.03503 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:3:2:1]   | failed  | 0.02923 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:3:2:2]   | failed  | 0.03211 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:4:1:1:1] | failed  | 0.03023 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:4:1:1:2] | failed  | 0.03452 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:4:1:1:3] | failed  | 0.03608 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:4:1:1:4] | failed  | 0.03059 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:4:1:2:1] | failed  | 0.04194 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:4:1:2:2] | failed  | 0.05792 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:4:1:2:3] | failed  | 0.05464 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:4:2:1]   | failed  | 0.0266 seconds  |
./spec/controllers/participation_spaces_controller_spec.rb[1:4:2:2]   | failed  | 0.02702 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:4:2:3]   | failed  | 0.027 seconds   |
./spec/controllers/participation_spaces_controller_spec.rb[1:5:1:1]   | failed  | 0.02758 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:5:1:2]   | failed  | 0.02785 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:5:1:3]   | failed  | 0.0286 seconds  |
./spec/controllers/participation_spaces_controller_spec.rb[1:5:2:1]   | failed  | 0.02559 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:5:2:2]   | failed  | 0.0266 seconds  |
./spec/controllers/participation_spaces_controller_spec.rb[1:6:1:1:1] | failed  | 0.02717 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:6:1:1:2] | failed  | 0.02753 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:6:1:1:3] | failed  | 0.0273 seconds  |
./spec/controllers/participation_spaces_controller_spec.rb[1:6:1:2:1] | failed  | 0.02797 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:6:1:2:2] | failed  | 0.0266 seconds  |
./spec/controllers/participation_spaces_controller_spec.rb[1:6:1:2:3] | failed  | 0.02716 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:6:2:1]   | failed  | 0.03025 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:6:2:2]   | failed  | 0.03296 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:6:2:3]   | failed  | 0.02633 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:7:1:1]   | failed  | 0.02786 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:7:1:2]   | failed  | 0.02713 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:7:1:3]   | failed  | 0.02694 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:7:2:1]   | failed  | 0.02564 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:7:2:2]   | failed  | 0.02522 seconds |
./spec/controllers/participation_spaces_controller_spec.rb[1:7:2:3]   | failed  | 0.02519 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1:1]                  | passed  | 0.02525 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1:2]                  | passed  | 0.01596 seconds |
./spec/controllers/users_controller_spec.rb[1:1:2:1]                  | passed  | 0.01794 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1:1]                  | passed  | 0.00923 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1:2]                  | passed  | 0.00918 seconds |
./spec/controllers/users_controller_spec.rb[1:2:2:1]                  | passed  | 0.00937 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:1]                | failed  | 0.16035 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:2]                | failed  | 0.01658 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:3]                | failed  | 0.01625 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:2:1]                | passed  | 0.01316 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:2:2]                | passed  | 0.0174 seconds  |
./spec/controllers/users_controller_spec.rb[1:3:1:2:3]                | passed  | 0.01417 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:1]                | passed  | 0.00952 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:2]                | passed  | 0.01001 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:4:1]                | failed  | 0.03663 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:4:2]                | failed  | 0.02296 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:5:1]                | passed  | 0.01126 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:5:2]                | passed  | 0.01308 seconds |
./spec/controllers/users_controller_spec.rb[1:3:2:1]                  | passed  | 0.01178 seconds |
./spec/controllers/users_controller_spec.rb[1:3:3:1]                  | passed  | 0.02022 seconds |
./spec/controllers/users_controller_spec.rb[1:3:3:2]                  | passed  | 0.01992 seconds |
./spec/controllers/users_controller_spec.rb[1:3:3:3]                  | passed  | 0.01933 seconds |
./spec/controllers/users_controller_spec.rb[1:4:1:1]                  | passed  | 0.00781 seconds |
./spec/controllers/users_controller_spec.rb[1:4:1:2]                  | passed  | 0.00748 seconds |
./spec/controllers/users_controller_spec.rb[1:4:1:3]                  | passed  | 0.0083 seconds  |
./spec/controllers/users_controller_spec.rb[1:4:2:1]                  | passed  | 0.00837 seconds |
./spec/controllers/users_controller_spec.rb[1:4:2:2]                  | passed  | 0.00856 seconds |
./spec/controllers/users_controller_spec.rb[1:4:2:3]                  | passed  | 0.00874 seconds |
./spec/controllers/users_controller_spec.rb[1:5:1]                    | failed  | 0.00927 seconds |
./spec/controllers/users_controller_spec.rb[1:5:2]                    | failed  | 0.01015 seconds |
./spec/helpers/dashboard_helper_spec.rb[1:1]                          | pending | 0.00001 seconds |
./spec/helpers/organizations_helper_spec.rb[1:1]                      | pending | 0.00001 seconds |
./spec/helpers/parental_consents_helper_spec.rb[1:1]                  | pending | 0 seconds       |
./spec/helpers/participation_spaces_helper_spec.rb[1:1]               | pending | 0.00001 seconds |
./spec/helpers/users_helper_spec.rb[1:1]                              | pending | 0.00001 seconds |
./spec/models/age_group_spec.rb[1:1]                                  | pending | 0 seconds       |
./spec/models/organization_analytic_spec.rb[1:1]                      | pending | 0.00001 seconds |
./spec/models/organization_spec.rb[1:1]                               | pending | 0 seconds       |
./spec/models/parental_consent_spec.rb[1:1]                           | pending | 0.00001 seconds |
./spec/models/participation_space_spec.rb[1:1]                        | pending | 0.00001 seconds |
./spec/models/role_spec.rb[1:1]                                       | pending | 0.00001 seconds |
./spec/models/user_spec.rb[1:1]                                       | pending | 0.00001 seconds |
./spec/views/dashboard/index.html.erb_spec.rb[1:1]                    | pending | 0 seconds       |
./spec/views/organizations/analytics.html.erb_spec.rb[1:1]            | pending | 0.00001 seconds |
./spec/views/organizations/create.html.erb_spec.rb[1:1]               | pending | 0.00001 seconds |
./spec/views/organizations/destroy.html.erb_spec.rb[1:1]              | pending | 0.00001 seconds |
./spec/views/organizations/edit.html.erb_spec.rb[1:1]                 | pending | 0.00001 seconds |
./spec/views/organizations/index.html.erb_spec.rb[1:1]                | pending | 0 seconds       |
./spec/views/organizations/new.html.erb_spec.rb[1:1]                  | pending | 0.00001 seconds |
./spec/views/organizations/show.html.erb_spec.rb[1:1]                 | pending | 0.00001 seconds |
./spec/views/organizations/update.html.erb_spec.rb[1:1]               | pending | 0.00001 seconds |
./spec/views/parental_consents/edit.html.erb_spec.rb[1:1]             | pending | 0.00001 seconds |
./spec/views/parental_consents/show.html.erb_spec.rb[1:1]             | pending | 0.00001 seconds |
./spec/views/parental_consents/update.html.erb_spec.rb[1:1]           | pending | 0.00001 seconds |
./spec/views/participation_spaces/create.html.erb_spec.rb[1:1]        | pending | 0.00001 seconds |
./spec/views/participation_spaces/destroy.html.erb_spec.rb[1:1]       | pending | 0 seconds       |
./spec/views/participation_spaces/edit.html.erb_spec.rb[1:1]          | pending | 0.00001 seconds |
./spec/views/participation_spaces/index.html.erb_spec.rb[1:1]         | pending | 0.00001 seconds |
./spec/views/participation_spaces/new.html.erb_spec.rb[1:1]           | pending | 0.00001 seconds |
./spec/views/participation_spaces/show.html.erb_spec.rb[1:1]          | pending | 0 seconds       |
./spec/views/participation_spaces/update.html.erb_spec.rb[1:1]        | pending | 0.00001 seconds |
./spec/views/users/profile.html.erb_spec.rb[1:1]                      | pending | 0.00001 seconds |
